name,birthdate,group,source,ohang_vector
이솔,1997-09-10,7 O'clock,kaggle,"[0.380952381, 0.0952380952, 0.2380952381, 0.2380952381, 0.0476190476]"
에이엠,1996-12-31,Limitless,kaggle,"[0.1428571429, 0.1428571429, 0.0476190476, 0.0952380952, 0.5714285714]"
에이스,1992-08-28,VAV,kaggle,"[0.0, 0.1818181818, 0.1818181818, 0.2727272727, 0.3636363636]"
애지,1999-10-25,Hash Tag,kaggle,"[0.2727272727, 0.0909090909, 0.3636363636, 0.2727272727, 0.0]"
아인,1999-09-27,MOMOLAND,kaggle,"[0.1904761905, 0.1904761905, 0.1428571429, 0.1904761905, 0.2857142857]"
아라,2001-02-21,Favorite,kaggle,"[0.5, 0.1818181818, 0.0909090909, 0.2272727273, 0.0]"
아현,2007-04-11,BABYMONSTER,kaggle,"[0.4285714286, 0.0952380952, 0.1428571429, 0.0, 0.3333333333]"
아윤,2004-10-23,BOTOPASS,kaggle,"[0.4090909091, 0.0454545455, 0.1818181818, 0.1818181818, 0.1818181818]"
아윤,2003-09-24,Queenz Eye,kaggle,"[0.0476190476, 0.0476190476, 0.1428571429, 0.4761904762, 0.2857142857]"
아영,1991-05-26,Dal Shabet,kaggle,"[0.0434782609, 0.347826087, 0.2173913043, 0.2608695652, 0.1304347826]"
아형,1996-08-27,P.O.P,kaggle,"[0.0, 0.3636363636, 0.0909090909, 0.2727272727, 0.2727272727]"
에일리,1989-05-30,솔로,kaggle,"[0.1304347826, 0.3043478261, 0.3043478261, 0.2608695652, 0.0]"
아이니,1991-07-13,솔로,kaggle,"[0.347826087, 0.0869565217, 0.3043478261, 0.2173913043, 0.0434782609]"
아샤,2000-07-21,Everglow,kaggle,"[0.1304347826, 0.0434782609, 0.3913043478, 0.2608695652, 0.1739130435]"
아키,2001-02-12,MAJORS,kaggle,"[0.1304347826, 0.5217391304, 0.1304347826, 0.2173913043, 0.0]"
알렉스,2004-10-06,DRIPPIN,kaggle,"[0.0909090909, 0.1818181818, 0.2727272727, 0.3181818182, 0.1363636364]"
알렉사,1996-12-06,솔로,kaggle,"[0.0476190476, 0.2857142857, 0.2380952381, 0.0476190476, 0.380952381]"
앨리스,1990-03-21,Hello Venus,kaggle,"[0.380952381, 0.1904761905, 0.1428571429, 0.2857142857, 0.0]"
앨리스,2002-02-20,TRACER,kaggle,"[0.1739130435, 0.2608695652, 0.3913043478, 0.0, 0.1739130435]"
앨런,1999-04-26,CRAVITY,kaggle,"[0.2272727273, 0.0, 0.5454545455, 0.1363636364, 0.0909090909]"
엠버,1992-09-18,f(x),kaggle,"[0.0, 0.1904761905, 0.1428571429, 0.5238095238, 0.1428571429]"
아민,2004-05-22,EPEX,kaggle,"[0.0869565217, 0.1304347826, 0.3043478261, 0.3913043478, 0.0869565217]"
앤디,1994-10-06,7 O'clock,kaggle,"[0.2727272727, 0.0454545455, 0.2727272727, 0.2727272727, 0.1363636364]"
앤디,1981-01-21,Shinhwa,kaggle,"[0.0454545455, 0.0, 0.4545454545, 0.2727272727, 0.2272727273]"
앤,2000-10-17,GWSN,kaggle,"[0.0434782609, 0.1304347826, 0.4782608696, 0.2608695652, 0.0869565217]"
엔써니,1998-03-12,VARSITY,kaggle,"[0.4090909091, 0.2272727273, 0.3636363636, 0.0, 0.0]"
아라,2002-01-23,ILY:1,kaggle,"[0.1818181818, 0.1363636364, 0.1818181818, 0.4545454545, 0.0454545455]"
아라,2003-07-25,Girls' World,kaggle,"[0.1363636364, 0.0909090909, 0.5454545455, 0.0, 0.2272727273]"
아란,2004-10-11,FIFTY FIFTY,kaggle,"[0.2272727273, 0.0454545455, 0.1818181818, 0.1818181818, 0.3636363636]"
아랑,2000-03-08,솔로,kaggle,"[0.4090909091, 0.0, 0.3636363636, 0.1363636364, 0.0909090909]"
아랑,2001-01-22,Pink Fantasy,kaggle,"[0.2272727273, 0.0, 0.3636363636, 0.3181818182, 0.0909090909]"
아름,1998-01-31,AREAL,kaggle,"[0.1304347826, 0.1304347826, 0.4782608696, 0.0869565217, 0.1739130435]"
아리,1994-10-23,Tahiti,kaggle,"[0.1739130435, 0.2608695652, 0.3043478261, 0.0869565217, 0.1739130435]"
아리아,2003-03-12,X:IN,kaggle,"[0.5, 0.0454545455, 0.1818181818, 0.1363636364, 0.1363636364]"
아리,2000-04-07,MIXX,kaggle,"[0.3043478261, 0.0434782609, 0.3913043478, 0.1739130435, 0.0869565217]"
아린,1999-06-18,Oh My Girl,kaggle,"[0.1818181818, 0.1818181818, 0.2727272727, 0.3181818182, 0.0454545455]"
아론,1993-05-21,NU'EST,kaggle,"[0.1363636364, 0.2727272727, 0.0909090909, 0.2272727273, 0.2727272727]"
아서,2000-04-15,Kingdom,kaggle,"[0.2727272727, 0.0, 0.2727272727, 0.1818181818, 0.2727272727]"
아사,2006-04-17,BABYMONSTER,kaggle,"[0.0454545455, 0.3181818182, 0.2727272727, 0.0454545455, 0.3181818182]"
아사히,2001-08-20,Treasure,kaggle,"[0.3636363636, 0.2272727273, 0.0909090909, 0.2727272727, 0.0454545455]"
애슐리,1991-11-09,Ladies' Code,kaggle,"[0.1363636364, 0.0909090909, 0.3636363636, 0.0909090909, 0.3181818182]"
